@relation aux
@attribute id numeric
@attribute start numeric
@attribute end numeric
@attribute event numeric
@attribute size numeric
@attribute class {'1','2'}
@data
1,0,913439,0,14,'1'
1,913439,1292405,1,14,'1'
1,1292405,1540749,0,14,'2'
2,0,50170,0,14,'1'
3,0,913439,0,18,'1'
3,913439,1292405,1,18,'1'
3,1292405,1540749,0,18,'2'
4,0,50170,0,18,'1'
5,0,374586,0,13,'1'
6,0,374586,0,74,'1'
7,0,374586,0,53,'1'
8,0,343394,0,45,'1'
10,0,122056,1,60,'1'
10,122056,163760,0,46,'2'
11,0,6230,1,60,'1'
11,6230,570075,1,60,'2'
11,570075,570142,1,54,'2'
11,570142,696434,1,56,'2'
11,696434,1338414,0,51,'2'
11,1338414,1717380,1,37,'2'
11,1717380,1802721,0,37,'2'
9,0,1925158,0,113,'1'
12,0,337409,1,12,'1'
12,337409,585753,0,12,'2'
13,0,337409,1,995,'1'
13,337409,585753,0,995,'2'
14,0,73979,0,86,'1'
15,0,1496988,0,12,'1'
15,1496988,1920116,0,59,'1'
16,0,73979,0,86,'1'
17,0,819800,0,12,'1'
18,0,374586,0,86,'1'
19,0,333561,0,141,'1'
20,0,163760,0,74,'1'
21,0,47094,1,208,'1'
21,47094,118999,0,12,'2'
21,118999,334285,1,12,'2'
21,334285,773350,0,12,'2'
22,0,321117,0,25,'1'
22,321117,333561,1,177,'1'
22,333561,334285,1,139,'2'
22,334285,337695,1,139,'2'
22,337695,1035122,1,137,'2'
22,1035122,1338413,0,96,'2'
22,1338413,1690336,1,96,'2'
22,1690336,1717378,1,74,'2'
22,1717378,1802719,0,74,'2'
24,0,6192,0,83,'1'
25,0,163760,0,48,'1'
26,0,6230,1,45,'1'
26,6230,333560,1,45,'2'
26,333560,570074,1,40,'2'
26,570074,570141,1,51,'2'
26,570141,773309,1,48,'2'
26,773309,1015427,1,48,'2'
26,1015427,1338412,0,39,'2'
26,1338412,1717378,1,39,'2'
26,1717378,1802719,0,39,'2'
23,0,321117,0,47,'1'
23,321117,333561,1,47,'1'
23,333561,1338415,0,47,'2'
23,1338415,1690127,0,47,'2'
28,0,1338416,0,37,'1'
28,1338416,1717382,1,33,'1'
28,1717382,1965726,0,33,'2'
27,0,851476,0,14,'1'
34,0,57494,1,9,'1'
34,57494,142199,1,14,'2'
34,142199,223478,0,21,'2'
29,0,351463,0,22,'1'
30,0,363504,0,15,'1'
31,0,8727,0,8,'1'
32,0,365804,0,8,'1'
33,0,282433,0,9,'1'
35,0,46126,1,24,'1'
35,46126,223479,0,24,'2'
36,0,375989,0,28,'1'
36,375989,377384,0,43,'1'
36,377384,380198,0,28,'1'
36,380198,392055,1,43,'1'
36,392055,844177,0,46,'2'
36,844177,1826881,0,46,'2'
36,1826881,1840022,0,46,'2'
37,0,118887,0,7,'1'
38,0,476318,0,29,'1'
39,0,1413388,0,60,'1'
40,0,6192,0,67,'1'
42,0,163197,0,15,'1'
41,0,1338416,0,21,'1'
41,1338416,1717382,1,21,'1'
41,1717382,1802528,0,21,'2'
43,0,327,0,15,'1'
44,0,327,0,15,'1'
45,0,19235,0,160,'1'
46,0,2931,1,51,'1'
46,2931,3186,1,54,'2'
46,3186,32222,1,55,'2'
46,32222,35088,1,59,'2'
46,35088,36867,1,60,'2'
46,36867,85445,0,62,'2'
46,85445,105660,0,62,'2'
46,105660,114576,0,62,'2'
47,0,2931,1,51,'1'
47,2931,3186,1,54,'2'
47,3186,32222,1,55,'2'
47,32222,35088,1,59,'2'
47,35088,36867,1,60,'2'
47,36867,85445,0,62,'2'
47,85445,105660,0,62,'2'
47,105660,113333,1,62,'2'
47,113333,276573,0,62,'2'
48,0,2931,1,51,'1'
48,2931,3186,1,54,'2'
48,3186,32222,1,55,'2'
48,32222,35088,1,59,'2'
48,35088,36867,1,60,'2'
48,36867,85445,0,62,'2'
48,85445,105660,0,62,'2'
48,105660,114576,0,62,'2'
49,0,2931,1,51,'1'
49,2931,3186,1,54,'2'
49,3186,32222,1,55,'2'
49,32222,35088,1,59,'2'
49,35088,36867,1,60,'2'
49,36867,85445,0,62,'2'
49,85445,105660,0,62,'2'
49,105660,113333,1,62,'2'
49,113333,276573,0,62,'2'
50,0,122056,1,36,'1'
50,122056,163760,0,45,'2'
51,0,6230,1,53,'1'
51,6230,493873,1,53,'2'
51,493873,570074,1,53,'2'
51,570074,570141,1,53,'2'
51,570141,696433,1,55,'2'
51,696433,1338413,0,50,'2'
51,1338413,1717379,1,36,'2'
51,1717379,1802720,0,36,'2'
52,0,122056,1,83,'1'
52,122056,163760,0,94,'2'
53,0,6230,1,99,'1'
53,6230,97361,1,97,'2'
53,97361,333560,1,117,'2'
53,333560,696434,1,116,'2'
53,696434,1338414,0,123,'2'
53,1338414,1717380,1,83,'2'
53,1717380,1802721,0,83,'2'
54,0,163760,0,30,'1'
55,0,97362,1,30,'1'
55,97362,333561,1,35,'2'
55,333561,493874,1,35,'2'
55,493874,550139,0,36,'2'
55,550139,550201,1,30,'2'
55,550201,554191,1,31,'2'
55,554191,1338413,0,30,'2'
55,1338413,1717379,1,30,'2'
55,1717379,1802720,0,30,'2'
56,0,2791,0,166,'1'
56,2791,3192,1,218,'1'
56,3192,8338,1,199,'2'
56,8338,9920,0,200,'2'
56,9920,11451,0,214,'2'
56,11451,292179,0,222,'2'
56,292179,292216,0,222,'2'
56,292216,1404050,0,250,'2'
57,0,1070211,0,17,'1'
256,0,743530,1,13,'1'
256,743530,1024782,0,13,'2'
256,1024782,1209944,0,13,'2'
257,0,646021,1,13,'1'
257,646021,1024842,1,13,'2'
257,1024842,1109527,1,13,'2'
257,1109527,1495161,1,13,'2'
257,1495161,1846782,0,13,'2'
258,0,121,0,11,'1'
259,0,84237,0,46,'1'
260,0,30452,1,46,'1'
260,30452,505494,1,46,'2'
260,505494,917149,0,46,'2'
260,917149,1451666,0,45,'2'
261,0,36957,1,40,'1'
261,36957,121194,0,40,'2'
262,0,30265,1,40,'1'
262,30265,1451481,0,40,'2'
881,0,1185,0,213,'1'
881,1185,8109,0,377,'1'
881,8109,29985,1,362,'1'
881,29985,31296,0,405,'2'
881,31296,218717,1,424,'2'
881,218717,245914,1,534,'2'
881,245914,262596,1,552,'2'
881,262596,262983,0,551,'2'
881,262983,666343,0,551,'2'
882,0,129904,0,221,'1'
58,0,1855080,0,15,'1'
59,0,1560958,0,15,'1'
884,0,629213,0,126,'1'
883,0,30092,1,46,'1'
883,30092,629213,0,104,'2'
885,0,17436,0,47,'1'
886,0,17436,0,20,'1'
887,0,5848,0,326,'1'
887,5848,256445,0,265,'1'
60,0,1478938,0,46,'1'
263,0,1413388,0,33,'1'
264,0,1413388,0,10,'1'
265,0,1051781,1,164,'1'
265,1051781,1190996,1,155,'2'
265,1190996,1413387,0,155,'2'
61,0,185535,0,175,'1'
61,185535,185645,1,175,'1'
61,185645,318159,0,175,'2'
61,318159,809299,1,175,'2'
61,809299,901024,1,175,'2'
61,901024,919410,0,179,'2'
62,0,185535,0,175,'1'
62,185535,185645,1,175,'1'
62,185645,318159,0,175,'2'
62,318159,809299,1,175,'2'
62,809299,914987,1,175,'2'
62,914987,1192420,1,179,'2'
62,1192420,1212757,0,213,'2'
62,1212757,1713458,1,217,'2'
62,1713458,1773726,1,217,'2'
62,1773726,1869027,0,201,'2'
63,0,998174,0,25,'1'
64,0,1700651,0,25,'1'
65,0,747640,0,81,'1'
66,0,1450117,0,81,'1'
67,0,1777032,0,118,'1'
68,0,70667,0,674,'1'
68,70667,356461,0,655,'1'
68,356461,795561,0,678,'1'
68,795561,1777031,0,731,'1'
69,0,1420571,0,193,'1'
70,0,1478938,0,26,'1'
71,0,114602,1,388,'1'
71,114602,1923842,0,388,'2'
72,0,6265,0,888,'1'
72,6265,93217,0,1247,'1'
72,93217,486132,0,1268,'1'
72,486132,1471017,0,1268,'1'
73,0,1632973,0,4,'1'
74,0,1622698,0,44,'1'
75,0,1632973,0,51,'1'
76,0,2465,0,1026,'1'
76,2465,50381,0,34,'1'
76,50381,1864629,0,37,'1'
77,0,128215,1,25,'1'
77,128215,304685,0,25,'2'
77,304685,1937454,0,27,'2'
78,0,6526,1,1132,'1'
78,6526,24741,1,1193,'2'
78,24741,74646,1,1206,'2'
78,74646,81123,0,1243,'2'
78,81123,468025,1,1238,'2'
78,468025,1883885,0,1215,'2'
79,0,292520,0,95,'1'
79,292520,348204,1,95,'1'
79,348204,364330,0,96,'2'
79,364330,1225364,1,97,'2'
79,1225364,1925288,0,97,'2'
80,0,1415860,0,31,'1'
81,0,54520,1,65,'1'
81,54520,589327,0,65,'2'
82,0,537,0,47,'1'
83,0,1368,0,9,'1'
84,0,110,1,74,'1'
84,110,229285,1,74,'2'
84,229285,715489,1,74,'2'
84,715489,733875,0,84,'2'
85,0,110,1,74,'1'
85,110,229285,1,74,'2'
85,229285,729453,1,74,'2'
85,729453,1006886,1,84,'2'
85,1006886,1683494,0,88,'2'
86,0,110,1,193,'1'
86,110,623764,1,193,'2'
86,623764,715489,1,193,'2'
86,715489,733875,0,189,'2'
87,0,110,1,193,'1'
87,110,623764,1,193,'2'
87,623764,729452,1,193,'2'
87,729452,1006885,1,189,'2'
87,1006885,1683493,0,189,'2'
88,0,1201096,0,26,'1'
89,0,1201096,0,11,'1'
90,0,1855080,0,23,'1'
91,0,1560958,0,23,'1'
92,0,1837,0,35,'1'
92,1837,368513,0,36,'1'
93,0,13779,0,751,'1'
93,13779,31696,1,752,'1'
93,31696,40082,0,755,'2'
93,40082,73428,1,765,'2'
93,73428,119385,0,968,'2'
93,119385,386725,0,943,'2'
94,0,267340,0,7,'1'
95,0,747640,0,24,'1'
96,0,1312362,0,24,'1'
97,0,118934,0,33,'1'
98,0,321111,0,9,'1'
99,0,110,1,60,'1'
99,110,715489,1,60,'2'
99,715489,733875,0,56,'2'
100,0,110,1,60,'1'
100,110,729453,1,60,'2'
100,729453,1006886,1,56,'2'
100,1006886,1683494,0,61,'2'
101,0,277805,0,13,'1'
102,0,439358,0,148,'1'
109,0,265350,0,371,'1'
109,265350,327081,1,377,'1'
109,327081,1198194,1,490,'2'
109,1198194,1898118,0,493,'2'
110,0,230658,1,403,'1'
110,230658,409746,1,403,'2'
110,409746,427209,1,403,'2'
110,427209,998172,0,403,'2'
111,0,230658,1,403,'1'
111,230658,409746,1,403,'2'
111,409746,427209,1,403,'2'
111,427209,1700649,0,403,'2'
112,0,125463,0,246,'1'
112,125463,427211,1,246,'1'
112,427211,553454,0,246,'2'
112,553454,998174,0,250,'2'
113,0,125463,0,246,'1'
113,125463,427211,1,246,'1'
113,427211,553454,0,246,'2'
113,553454,1066168,0,250,'2'
113,1066168,1066173,0,251,'2'
113,1066173,1186954,1,250,'2'
113,1186954,1224166,1,248,'2'
113,1224166,1420642,1,246,'2'
113,1420642,1562881,1,245,'2'
113,1562881,1562900,1,246,'2'
113,1562900,1700648,0,242,'2'
266,0,1003009,0,91,'1'
266,1003009,1381975,1,91,'1'
266,1381975,1630319,0,91,'2'
114,0,110,1,92,'1'
114,110,132624,0,94,'2'
114,132624,715489,1,92,'2'
114,715489,733875,0,85,'2'
115,0,110,1,92,'1'
115,110,132624,0,94,'2'
115,132624,729453,1,92,'2'
115,729453,1006886,1,85,'2'
115,1006886,1683494,0,86,'2'
116,0,466859,0,19,'1'
116,466859,1338415,0,19,'1'
116,1338415,1717381,1,19,'1'
116,1717381,1965725,0,19,'2'
117,0,1338416,0,5,'1'
117,1338416,1717382,1,5,'1'
117,1717382,1965726,0,5,'2'
118,0,110,1,138,'1'
118,110,132624,0,139,'2'
118,132624,715489,1,142,'2'
118,715489,733875,0,139,'2'
119,0,110,1,138,'1'
119,110,132624,0,139,'2'
119,132624,729453,1,142,'2'
119,729453,1006886,1,139,'2'
119,1006886,1683494,0,139,'2'
120,0,18386,0,35,'1'
121,0,144756,0,35,'1'
105,0,1647356,0,1,'1'
106,0,1807485,0,1,'1'
107,0,1647356,0,1,'1'
108,0,829402,0,1,'1'
103,0,1807485,0,1,'1'
104,0,1035812,0,1,'1'
267,0,1667675,0,107,'1'
122,0,1070211,0,114,'1'
123,0,1632769,0,19,'1'
268,0,1927936,0,103,'1'
269,0,79670,1,308,'1'
269,79670,350259,0,289,'2'
269,350259,392339,1,308,'2'
269,392339,531994,1,289,'2'
269,531994,1927934,0,285,'2'
273,0,47094,1,134,'1'
273,47094,118934,0,16,'2'
274,0,47094,1,15,'1'
274,47094,321110,0,133,'2'
270,0,1035493,0,29,'1'
270,1035493,1414459,1,29,'1'
270,1414459,1662803,0,29,'2'
272,0,163197,0,37,'1'
271,0,259035,0,47,'1'
271,259035,455365,1,50,'1'
271,455365,1338414,0,50,'2'
271,1338414,1717380,1,48,'2'
271,1717380,1802526,0,48,'2'
275,0,1400862,0,24,'1'
124,0,165509,1,31,'1'
124,165509,384457,1,31,'2'
124,384457,1265823,0,33,'2'
124,1265823,1402764,0,33,'2'
124,1402764,1451499,1,34,'2'
124,1451499,1500607,1,37,'2'
124,1500607,1847377,0,37,'2'
125,0,165509,1,31,'1'
125,165509,747063,0,31,'2'
126,0,165509,1,23,'1'
126,165509,1847379,0,25,'2'
127,0,165509,1,23,'1'
127,165509,747063,0,25,'2'
132,0,19875,0,54,'1'
132,19875,767515,0,56,'1'
133,0,19875,0,54,'1'
133,19875,1469992,0,56,'1'
276,0,227565,0,295,'1'
128,0,211127,1,127,'1'
128,211127,978642,0,127,'2'
129,0,211127,1,127,'1'
129,211127,1681120,0,127,'2'
130,0,110,1,11,'1'
130,110,715489,1,12,'2'
130,715489,733875,0,12,'2'
131,0,110,1,11,'1'
131,110,729453,1,12,'2'
131,729453,1683495,0,12,'2'
144,0,1594613,0,186,'1'
145,0,1201096,0,11,'1'
134,0,14,1,124,'1'
134,14,772071,0,124,'2'
135,0,1022734,0,95,'1'
136,0,1019090,0,805,'1'
136,1019090,1791480,0,861,'1'
137,0,318,1,214,'1'
137,318,772389,0,214,'2'
138,0,333,1,778,'1'
138,333,772390,0,778,'2'
139,0,370910,0,653,'1'
140,0,119237,0,585,'1'
140,119237,891627,0,569,'1'
141,0,370910,0,464,'1'
