@relation aux
@attribute climbRate numeric
@attribute Sgz numeric
@attribute p numeric
@attribute q numeric
@attribute curRoll numeric
@attribute absRoll numeric
@attribute diffClb numeric
@attribute diffRollRate numeric
@attribute diffDiffClb numeric
@attribute SaTime1 numeric
@attribute SaTime2 numeric
@attribute SaTime3 numeric
@attribute SaTime4 numeric
@attribute diffSaTime1 numeric
@attribute diffSaTime2 numeric
@attribute diffSaTime3 numeric
@attribute diffSaTime4 numeric
@attribute Sa numeric
@attribute class {'1','2'}
@data
118,-55,-0.28,-0.08,-0.2,-11,11,0.005,-0.2,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,'2'
390,-45,-0.06,-0.07,-0.6,-12,11,0.01,-0.2,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'2'
68,6,0.11,0.15,0.6,-10,-9,-0.003,-0.2,-0.0011,-0.001,-0.001,-0.001,-2e-04,0,0,0,-0.001,'2'
-358,-12,-0.2,0.13,-0.3,-11,-7,0.001,-0.1,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,'2'
-411,-19,-0.18,0.02,-0.5,-11,-3,0.002,1.2,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,'2'
-374,-29,-0.14,0.03,-0.8,-12,5,0.003,-0.3,-8e-04,-0.001,-0.001,-0.001,1e-04,0,0,0,-0.001,'2'
-11,-43,0.34,-0.05,-0.4,-11,9,0.01,-0.2,-7e-04,-7e-04,-7e-04,-7e-04,-2e-04,0,0,0,-7e-04,'2'
224,5,-0.35,0.06,-1.2,-12,1,0.01,0.2,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'2'
-120,13,0.29,0.15,-1.4,-12,-9,0.008,-0.2,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'2'
-335,-3,0.27,0.13,-0.1,-11,-8,-0.009,-0.2,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,'2'
-237,-32,-0.15,0.03,0.3,-11,2,-0.007,-0.1,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,'2'
-104,-60,0.3,0.09,0.8,-10,-4,-0.007,-0.2,-9e-04,-9e-04,-9e-04,-9e-04,0,0,-2e-04,0,-9e-04,'2'
-165,-63,0.16,0.1,1,-10,-7,-0.014,-0.1,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,'2'
108,-70,-0.4,0.01,-0.6,-11,6,0.003,-0.2,-8e-04,-8e-04,-8e-04,-8e-04,0,0,1e-04,0,-8e-04,'2'
51,-52,0.18,0.1,-1.5,-12,-4,0.004,-0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'2'
-43,-52,0.19,0.18,-1.2,-12,-13,-0.005,-0.3,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,0,-9e-04,'2'
-368,-71,0.03,0.12,-0.8,-12,-7,-0.002,-0.2,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
58,-85,0.13,-0.11,-0.5,-11,17,0.003,-0.3,-8e-04,-7e-04,-7e-04,-7e-04,-2e-04,0,0,0,-7e-04,'2'
376,-73,0.01,-0.04,-0.3,-11,8,-0.006,-0.1,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,0,-9e-04,'2'
501,-41,-0.19,0.04,-0.7,-12,1,-0.005,-0.1,-8e-04,-8e-04,-8e-04,-9e-04,0,0,1e-04,0,-9e-04,'2'
556,-25,-0.08,0.03,-0.9,-12,4,0.009,-0.3,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'2'
-131,12,0.06,0.19,0.1,-11,-15,-0.01,-0.2,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,0,-9e-04,'2'
-275,2,-0.13,0.07,0,-11,-4,-0.008,0.2,-8e-04,-8e-04,-8e-04,-9e-04,0,0,1e-04,0,-9e-04,'2'
-130,-15,-0.2,0.02,-0.9,-12,4,-0.001,-0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
199,-14,0.04,-0.04,-1.2,-12,10,0.007,-0.2,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'2'
93,7,0.25,0.09,0,-11,-5,0.001,-0.1,-8e-04,-7e-04,-7e-04,-7e-04,-2e-04,0,0,0,-7e-04,'2'
-31,9,0.13,0.11,0.4,-11,-7,-0.008,-0.2,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
-26,7,0.03,0.02,0.6,-10,8,-0.007,-0.9,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'2'
-128,5,-0.17,0.13,0.4,-11,-9,-0.01,-0.4,-8e-04,-9e-04,-9e-04,-9e-04,1e-04,0,0,0,-9e-04,'1'
-194,3,-0.17,-0.04,0.2,-11,-2,0.005,2.3,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
102,-3,0.16,-0.03,0.2,-11,7,0.007,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
146,2,0.25,0.03,0.5,-10,-1,0.005,0.5,-6e-04,-6e-04,-6e-04,-6e-04,-2e-04,0,0,0,-6e-04,'2'
-234,1,-0.12,0.13,1,-10,-11,-0.009,0,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'2'
-323,-7,-0.22,0.09,0.7,-10,-3,-0.007,-0.4,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
-328,-15,-0.3,0.03,0.4,-11,4,-0.005,-0.3,-6e-04,-7e-04,-7e-04,-8e-04,1e-04,0,1e-04,0,-8e-04,'1'
200,-21,0.08,-0.12,-0.2,-11,17,0.011,-0.2,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,0,-5e-04,'1'
384,-10,0.27,-0.02,0.3,-11,6,0.008,0.5,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,0,-5e-04,'2'
318,3,0.34,0.1,0.8,-10,-10,0.002,1,-8e-04,-6e-04,-6e-04,-6e-04,-2e-04,0,-2e-04,0,-6e-04,'2'
-332,3,-0.21,0.16,1.2,-10,-14,-0.01,0,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
-427,-19,-0.36,0.05,0.3,-11,1,-0.002,-0.2,-7e-04,-7e-04,-7e-04,-7e-04,1e-04,0,0,0,-7e-04,'1'
139,-39,0.23,-0.03,-0.5,-11,8,0.008,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
-113,-34,0.32,0.07,-0.8,-12,-2,0.005,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
-54,-38,0.39,0.01,0.1,-11,4,0.002,0.1,-7e-04,-6e-04,-6e-04,-6e-04,-2e-04,0,0,0,-6e-04,'1'
-72,-39,0.29,0.07,0.6,-10,-8,-0.011,0.4,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
-81,-42,0.16,0.04,0.9,-10,1,-0.007,-0.5,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'1'
-83,-46,-0.23,0.04,0.9,-10,-1,-0.012,0,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,0,-9e-04,'1'
-27,-48,-0.38,0.01,0.4,-11,6,-0.009,-0.7,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
294,-17,0.3,0.04,-0.2,-11,1,0.003,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
146,-6,0.18,0.11,0.6,-10,-9,-0.007,-0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'1'
-182,-6,-0.33,0.14,0.4,-11,-11,-0.016,0,-9e-04,-9e-04,-9e-04,-9e-04,1e-04,0,0,0,-9e-04,'1'
-259,-10,-0.43,-0.05,0,-11,-2,-0.008,2,-8e-04,-8e-04,-8e-04,-8e-04,1e-04,0,0,0,-8e-04,'1'
-88,-16,-0.38,-0.05,-0.8,-12,11,0.006,-0.4,-6e-04,-6e-04,-6e-04,-7e-04,0,0,1e-04,0,-7e-04,'1'
330,-11,-0.09,-0.13,-1.4,-12,19,0.012,0.2,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,0,-5e-04,'1'
509,-3,0.06,0.04,-1.4,-12,5,0.011,-1.9,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
550,13,0.22,0.04,-1.2,-12,-1,0.009,0.5,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
188,50,0.24,0.13,0.7,-10,-11,-0.008,-0.1,-8e-04,-7e-04,-7e-04,-7e-04,-2e-04,0,0,0,-7e-04,'1'
14,52,0.03,0.14,0.9,-10,-12,-0.015,0.1,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,0,-9e-04,'1'
-263,40,-0.51,0.09,-0.6,-11,-5,-0.007,0,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,0,-9e-04,'1'
275,36,0.49,0.01,-0.6,-11,5,0.002,-0.2,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
-275,14,0.21,0.09,-0.3,-11,-4,-0.008,-0.4,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
462,24,0.25,0.02,-0.5,-11,4,0.001,-0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'1'
-534,11,-0.28,0.07,-0.5,-11,-2,0.006,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
-72,-35,0.36,0.01,0.8,-10,3,-0.005,-0.2,-7e-04,-7e-04,-7e-04,-7e-04,-2e-04,0,0,0,-7e-04,'1'
-149,-40,0.11,0.07,1.5,-9,-5,-0.01,0.1,-8e-04,-7e-04,-7e-04,-7e-04,-2e-04,0,0,0,-7e-04,'1'
