@relation aux
@attribute raw numeric
@attribute class {'1','2'}
@data
1.76,'2'
1.76,'2'
1.76,'2'
1.76,'2'
1.74,'2'
1.72,'2'
1.68,'1'
1.68,'1'
1.76,'2'
1.84,'2'
1.84,'2'
1.86,'2'
1.86,'2'
1.88,'2'
1.88,'2'
1.84,'2'
1.76,'1'
1.66,'1'
1.76,'1'
1.82,'2'
1.78,'1'
1.84,'2'
1.88,'2'
1.94,'2'
1.94,'2'
1.9,'2'
1.9,'2'
1.92,'2'
1.92,'2'
1.92,'2'
1.94,'2'
1.94,'2'
1.92,'2'
1.96,'2'
1.66,'1'
1.92,'2'
1.94,'2'
1.92,'2'
1.86,'2'
1.76,'1'
1.8,'1'
1.86,'2'
1.94,'2'
1.94,'2'
1.9,'2'
1.92,'2'
1.92,'2'
1.94,'2'
1.92,'2'
1.92,'2'
1.94,'2'
1.92,'2'
1.96,'2'
2,'2'
1.94,'2'
1.92,'2'
1.94,'2'
1.92,'2'
1.8,'1'
1.78,'1'
1.78,'1'
1.86,'1'
1.92,'2'
1.94,'2'
1.94,'2'
1.96,'2'
1.96,'2'
1.96,'2'
1.96,'2'
1.96,'2'
1.96,'2'
1.94,'2'
1.94,'2'
1.92,'2'
1.88,'1'
1.86,'1'
1.8,'1'
1.8,'1'
1.84,'1'
1.68,'1'
1.88,'1'
1.92,'2'
1.96,'2'
1.96,'2'
1.94,'2'
1.96,'2'
2,'2'
2,'2'
1.98,'2'
1,'1'
1.94,'2'
1.96,'2'
1.96,'2'
1.96,'2'
1.96,'2'
1.94,'2'
1.94,'2'
1.94,'2'
1.94,'2'
1.96,'2'
1.96,'2'
1.96,'2'
1.96,'2'
1.96,'2'
1.96,'2'
1.96,'2'
1.96,'2'
1.96,'2'
1.96,'2'
1.96,'2'
1.96,'2'
1.96,'2'
1.96,'2'
1.98,'2'
1.96,'2'
1.96,'2'
2,'2'
2.02,'2'
1.98,'2'
1.96,'2'
1.98,'2'
1.96,'2'
1.92,'2'
1.74,'1'
1.8,'1'
1.86,'1'
1.9,'1'
1.96,'2'
2,'2'
2,'2'
1.98,'2'
1.94,'2'
1.92,'2'
1.94,'2'
1.98,'2'
1.62,'1'
1.98,'2'
1.96,'2'
1.96,'2'
1.98,'2'
2,'2'
2,'2'
2,'2'
2,'2'
2,'2'
2,'2'
2,'2'
1.98,'2'
1.98,'2'
1.58,'1'
2,'2'
2,'2'
2.02,'2'
2.04,'2'
2.04,'2'
2,'2'
1.98,'2'
2,'2'
2,'2'
1.96,'2'
1.9,'1'
1.82,'1'
1.9,'1'
2,'2'
2,'2'
1.94,'2'
2,'2'
2,'2'
1.98,'2'
2,'2'
2,'2'
1.54,'1'
2.02,'2'
2.04,'2'
2.04,'2'
2.04,'2'
2.04,'2'
1.94,'2'
1.82,'1'
2.02,'2'
2.04,'2'
2.04,'2'
2.04,'2'
2.04,'2'
2,'2'
2,'2'
2,'2'
2,'2'
2,'2'
2,'2'
2,'2'
2,'2'
2,'2'
2,'2'
2,'2'
2,'2'
2,'2'
1.72,'1'
1.96,'2'
2,'2'
2,'2'
1.96,'2'
1.96,'2'
2,'2'
2,'2'
1.96,'2'
1.88,'1'
1.64,'1'
2,'2'
2.04,'2'
2,'2'
2.06,'2'
2,'2'
2,'2'
2,'2'
2,'2'
1.96,'2'
2.02,'2'
1.92,'1'
1.96,'2'
1.86,'1'
2,'2'
2,'2'
1.98,'2'
2,'2'
2.04,'2'
2.02,'2'
2,'2'
2.02,'2'
2,'2'
2,'2'
2.02,'2'
1.38,'1'
2,'2'
1.96,'2'
1.98,'2'
2,'2'
2.02,'2'
2.02,'2'
2,'2'
1.96,'2'
1.92,'1'
1.92,'1'
1.92,'1'
1.96,'2'
2,'2'
2,'2'
2,'2'
2.02,'2'
2.02,'2'
2.02,'2'
2.02,'2'
2,'2'
2,'2'
1.96,'2'
1.98,'2'
2,'2'
1.96,'2'
2.02,'2'
2,'2'
2.02,'2'
2.02,'2'
2.04,'2'
2.02,'2'
2,'2'
2.04,'2'
2.08,'2'
2.06,'2'
2.04,'2'
2.02,'2'
2,'2'
2,'2'
2.02,'2'
2.04,'2'
2.04,'2'
2.02,'2'
2,'2'
1.78,'1'
1.84,'1'
1.88,'1'
2,'2'
2.04,'2'
2.02,'2'
2,'2'
1.68,'1'
2.02,'2'
2.04,'2'
2.04,'2'
2.04,'2'
2.08,'2'
2,'2'
2.04,'2'
2,'2'
1.72,'1'
1.88,'1'
2,'2'
2.04,'2'
2.02,'2'
2,'2'
2.04,'2'
2.04,'2'
2.02,'2'
2.04,'2'
2.04,'2'
2.02,'2'
2.04,'2'
2.08,'2'
2.08,'2'
2.04,'2'
2.04,'2'
2.06,'2'
2.04,'2'
2.02,'2'
2,'2'
1.76,'1'
1.84,'1'
1.92,'1'
1.84,'1'
1.94,'1'
2,'2'
2.04,'2'
2.06,'2'
2.04,'2'
2.04,'2'
2.02,'2'
2,'2'
2,'2'
2.02,'2'
2.04,'2'
2.02,'2'
2.04,'2'
2.02,'2'
0.72,'1'
2.04,'2'
2.04,'2'
2.04,'2'
2.08,'2'
2.06,'2'
2.02,'2'
2.06,'2'
2.04,'2'
1.82,'1'
1.88,'1'
2.04,'2'
2.02,'2'
2.04,'2'
2.04,'2'
2.04,'2'
1.58,'1'
2.08,'2'
2.02,'2'
2.04,'2'
2,'2'
1.84,'1'
1.94,'1'
2.04,'2'
2.04,'2'
2,'2'
2,'2'
2,'2'
2.02,'2'
2,'2'
2,'2'
2,'2'
2.04,'2'
2.06,'2'
2.04,'2'
1.94,'1'
1.84,'1'
1.84,'1'
1.92,'1'
2,'2'
2.04,'2'
2.06,'2'
2.04,'2'
2.06,'2'
2.1,'2'
2.06,'2'
2.04,'2'
2.04,'2'
2.02,'2'
1.46,'1'
2,'2'
2.04,'2'
2.04,'2'
1.86,'1'
1.7,'1'
2.02,'2'
2.06,'2'
2.04,'2'
2.08,'2'
2.06,'2'
2.04,'2'
2.06,'2'
2,'2'
2.06,'2'
1.96,'1'
1.84,'1'
